time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
2520.0,0.0463088527,0.00055859331,0.994249105,0.994249105,625.136963,1710.53125,1,826.890381,108.25,1,847.368591,26.1875,741.05249,44342.625,0.000167672522,409.967407,0.273311615,0.688015521,0.259503543,0.806598186,-0.0649164841,0.0504642986,-0.0531670637,0.0413306206,1.22099054,-0.0578497127,0.0492105298,-0.00878854468,4.07826228e-05,15,115,0.000634634634
2580.0,0.0465490855,0.000575100072,0.991861999,0.991861999,625.33313,1623.84375,1,826.864624,119.5,1,847.890625,28.4375,730.766052,48004.6875,0.000145473517,420.630737,0.280420482,0.705575943,0.258595943,0.806589782,-0.0644775108,0.0500934906,-0.0528075434,0.0410269275,1.22099054,-0.0575307533,0.0488238521,-0.00971048791,4.12617737e-05,15,115,0.000634634634
2640.0,0.0465593487,0.000584738562,0.990451396,0.990451396,625.392212,1574.25,1,826.927246,132.5625,1,848.425232,28.875,723.602417,50088.5938,0.000126080588,425.259064,0.283506036,0.703218877,0.257650912,0.806610167,-0.0640220642,0.0497087836,-0.0524345301,0.0407118499,1.22099054,-0.0569899268,0.0481010862,-0.00999079831,4.14077695e-05,15,115,0.000634634634
2700.0,0.0464630537,0.000594083453,0.986979187,0.986979187,625.980591,1551.46875,1,826.97522,140.75,1,848.955078,27.5625,715.243042,53100.0938,0.000109995715,423.368958,0.282245964,0.68100667,0.256669998,0.806625783,-0.0635500029,0.049312342,-0.0520479083,0.0403871611,1.22099054,-0.0567572564,0.0476297326,-0.00983997993,4.12478548e-05,15,115,0.000634634634
2760.0,0.0463525504,0.000599775929,0.983940959,0.983940959,627.015869,1595.375,1,827.075439,145.0625,1,849.448669,25.375,705.870239,56752.0938,9.55751166e-05,415.477386,0.27698493,0.645929098,0.255659133,0.806658328,-0.0630626008,0.048908975,-0.0516487211,0.0400568023,1.22099054,-0.0567564517,0.0482685342,-0.00911123212,4.08572778e-05,15,115,0.000634634634
2820.0,0.0462533049,0.000595768681,0.980251729,0.980251729,627.925598,1601.625,1,827.232178,147.6875,1,849.919373,22.8125,700.095459,59955.0938,8.27377662e-05,402.999451,0.268666297,0.599912226,0.254647374,0.80670929,-0.0625736192,0.0485108085,-0.0512482412,0.0397307016,1.22099054,-0.0575802252,0.0490903705,-0.00786391366,4.02124788e-05,15,115,0.000634634634
2880.0,0.0462635309,0.000584849389,0.980143249,0.980143249,628.764526,1595,1,827.342102,148.8125,1,850.334961,20.875,698.357178,60660.5625,7.11297616e-05,387.644318,0.258429557,0.546477079,0.253674597,0.806745052,-0.0621022135,0.0481334776,-0.0508621596,0.0394216627,1.22099054,-0.0585521646,0.0502646267,-0.00633151783,3.94978051e-05,15,115,0.000634634634
2940.0,0.0463807061,0.000569238327,0.979709208,0.979709208,629.317749,1585.8125,1,827.447388,149.5,1,850.680908,19.3125,694.902344,62413.4688,6.02323562e-05,371.074738,0.247383162,0.491648555,0.252772123,0.806779265,-0.0616630055,0.0477891825,-0.0505024418,0.0391396843,1.22099054,-0.0594232604,0.0515761673,-0.00471638795,3.88974986e-05,15,115,0.000634634634
3000.0,0.0465421006,0.000549521297,0.978515625,0.978515625,629.467773,1573.65625,1,827.550049,148.5,1,850.971985,17.4375,689.535583,65390.125,5.06946817e-05,354.329773,0.236219853,0.440635532,0.251957297,0.806812584,-0.061262846,0.0474857539,-0.0501747094,0.0388911739,1.22099054,-0.0605041571,0.0525350124,-0.00358060584,3.87069485e-05,15,115,0.000634634634
3060.0,0.0467229411,0.000529961893,0.979492188,0.979492188,629.548035,1533.59375,1,827.627197,144.3125,1,851.212769,15.625,686.087219,67679.0625,4.33744863e-05,337.97757,0.225318387,0.397579789,0.251231104,0.806837738,-0.0609017871,0.0472232997,-0.0498789996,0.0386762209,1.22099054,-0.0619757101,0.0529852547,-0.00233938475,3.86596112e-05,15,115,0.000634634634
