time_s,q_z100p0m,q_z10p0m,q_z180p0m,q_z200p0m,q_z25p0m,q_z50p0m,theta_z100p0m,theta_z10p0m,theta_z180p0m,theta_z200p0m,theta_z25p0m,theta_z50p0m,u_z100p0m,u_z10p0m,u_z180p0m,u_z200p0m,u_z25p0m,u_z50p0m,v_z100p0m,v_z10p0m,v_z180p0m,v_z200p0m,v_z25p0m,v_z50p0m,w_z100p0m,w_z10p0m,w_z180p0m,w_z200p0m,w_z25p0m,w_z50p0m
9760,0.0095628155395388603,0.009882521815598011,0.0087840240448713303,0.0087697822600603104,0.0098751503974199295,0.0097391381859779358,293.13723754882812,290.01718139648438,297.1484375,297.26275634765625,290.2022705078125,291.45187377929688,-6.7946419715881348,-2.3446991443634033,-3.5873081684112549,-3.0902190208435059,-2.6930570602416992,-4.6962571144104004,3.2837560176849365,-0.086416773498058319,7.1275968551635742,6.882225513458252,-0.099700003862380981,0.94364064931869507,0.059705529361963272,-0.040816396474838257,0.062156029045581818,0.010477057658135891,-0.022049689665436745,0.059773281216621399
9770,0.0095773506909608841,0.0098767504096031189,0.0087863123044371605,0.0087575735524296761,0.0098388418555259705,0.0097387004643678665,292.98529052734375,290.07315063476562,297.1572265625,297.32550048828125,290.54193115234375,291.46026611328125,-6.820502758026123,-2.3184516429901123,-3.4129629135131836,-2.8321273326873779,-3.0487143993377686,-4.5181407928466797,3.1775414943695068,-0.14025102555751801,7.0577363967895508,6.8211507797241211,-0.17243267595767975,0.4033818244934082,0.097389876842498779,-0.059137888252735138,0.025618841871619225,0.03363274410367012,-0.12123256921768188,-0.10695032775402069
9780,0.0094757815822958946,0.0098725762218236923,0.0087901679798960686,0.0087304776534438133,0.0098400721326470375,0.0097937434911727905,293.63525390625,290.11727905273438,297.1513671875,297.44900512695312,290.56710815429688,291.0765380859375,-6.7731866836547852,-2.3689093589782715,-3.3651862144470215,-2.713092565536499,-3.1776282787322998,-4.1079068183898926,3.515949010848999,-0.13256633281707764,7.089177131652832,6.8596925735473633,-0.085482314229011536,0.36239635944366455,-0.051275972276926041,0.015988519415259361,-0.010041628964245319,-0.012277153320610523,-0.11562156677246094,-0.064252413809299469
9790,0.0094791296869516373,0.0098727494478225708,0.0087751373648643494,0.0087335752323269844,0.0098458081483840942,0.0098031498491764069,293.5745849609375,290.1268310546875,297.17691040039062,297.43609619140625,290.52597045898438,291.05380249023438,-6.6956186294555664,-2.3610634803771973,-3.3142673969268799,-2.7681939601898193,-2.9487185478210449,-3.8369829654693604,3.6387147903442383,-0.16961386799812317,7.1538777351379395,6.826995849609375,-0.086096562445163727,0.23342549800872803,0.0036195924039930105,-0.021408045664429665,0.053809557110071182,0.046682678163051605,-0.064896672964096069,-0.0065862513147294521
9800,0.0095655359327793121,0.0098730688914656639,0.0087873721495270729,0.0087392693385481834,0.0098511399701237679,0.0097952801734209061,293.031494140625,290.14016723632812,297.070068359375,297.41473388671875,290.45632934570312,291.1781005859375,-6.4915337562561035,-2.3311502933502197,-3.3888461589813232,-2.7525458335876465,-2.8671834468841553,-4.4429354667663574,2.8512372970581055,-0.12234900891780853,7.0951642990112305,6.9108848571777344,0.0094034746289253235,0.49471551179885864,0.092664211988449097,-0.030992023646831512,0.085483580827713013,0.10059990733861923,-0.075272247195243835,0.049792040139436722
9810,0.0095548182725906372,0.0098733352497220039,0.0087737245485186577,0.0087414653971791267,0.0098574729636311531,0.009761737659573555,293.06576538085938,290.12515258789062,297.1632080078125,297.4337158203125,290.35250854492188,291.2982177734375,-6.5337557792663574,-2.2868120670318604,-3.3182330131530762,-2.6975948810577393,-2.6498095989227295,-4.5487356185913086,2.5867002010345459,-0.086884357035160065,7.1097683906555176,6.9139308929443359,0.003930884413421154,0.2950160801410675,0.16732928156852722,0.050737496465444565,-0.040184024721384048,0.027397740632295609,0.10788293927907944,0.063852407038211823
9820,0.0095737669616937637,0.0098738670349121094,0.0088507849723100662,0.0087712649255990982,0.0098655633628368378,0.0097716925665736198,292.96847534179688,290.08984375,296.8009033203125,297.19778442382812,290.24691772460938,291.26998901367188,-6.68988037109375,-2.2996830940246582,-3.5564999580383301,-2.9602067470550537,-2.5551149845123291,-4.5338201522827148,2.9455466270446777,-0.067782267928123474,7.1421895027160645,6.9911613464355469,-0.044834557920694351,0.65794646739959717,0.051172677427530289,0.064045347273349762,0.08121759444475174,0.1006171777844429,0.05414889007806778,0.070511877536773682
9830,0.0094524528831243515,0.0098757278174161911,0.0088119236752390862,0.0087374523282051086,0.0098683340474963188,0.0098009612411260605,293.81658935546875,290.04595947265625,297.04205322265625,297.38467407226562,290.18804931640625,291.00106811523438,-6.6306190490722656,-2.3377449512481689,-3.3963196277618408,-2.6891593933105469,-2.555872917175293,-4.5489163398742676,3.4845044612884521,-0.075318925082683563,7.080721378326416,6.9332127571105957,-0.04872753843665123,0.44763192534446716,-0.10155367851257324,0.040081921964883804,0.0061865868046879768,-0.03741971030831337,0.024538585916161537,0.048735838383436203
9840,0.0094856591895222664,0.0098801879212260246,0.0087716821581125259,0.008742370642721653,0.0098742051050066948,0.00976541917771101,293.55557250976562,289.99411010742188,297.19595336914062,297.39556884765625,290.13961791992188,291.35012817382812,-6.657444953918457,-2.3754620552062988,-3.3816068172454834,-2.7984011173248291,-2.6440935134887695,-4.6244978904724121,3.4848995208740234,-0.17197082936763763,7.0966501235961914,6.9068241119384766,-0.15893451869487762,0.11138069629669189,-0.034398224204778671,0.023682473227381706,-0.10301680862903595,-0.093019627034664154,0.060874924063682556,0.29445895552635193
9850,0.0095454296097159386,0.0098851332440972328,0.0087829157710075378,0.0087343808263540268,0.0098776873201131821,0.0097368881106376648,293.14254760742188,289.96536254882812,297.155517578125,297.4127197265625,290.143310546875,291.59835815429688,-6.670809268951416,-2.3616669178009033,-3.4168145656585693,-2.877488374710083,-2.680488109588623,-4.5431904792785645,3.0579049587249756,-0.12849284708499908,7.0873231887817383,6.8953938484191895,-0.046119704842567444,0.45745205879211426,0.023606292903423309,-0.0046439953148365021,0.0052898544818162918,-0.027169641107320786,0.044488821178674698,0.069764621555805206
