case,window,z_m,variable,value,location,units
factor1,penultimate_hour,81.25,resolved_tke,0.21073784679174423,Center,m^2 s^-2
factor1,penultimate_hour,93.75,resolved_tke,0.18769260495901108,Center,m^2 s^-2
factor1,penultimate_hour,106.25,resolved_tke,0.16704197973012924,Center,m^2 s^-2
factor1,penultimate_hour,118.75,resolved_tke,0.15337377786636353,Center,m^2 s^-2
factor1,penultimate_hour,131.25,resolved_tke,0.13868727535009384,Center,m^2 s^-2
factor1,penultimate_hour,143.75,resolved_tke,0.1193428672850132,Center,m^2 s^-2
factor1,penultimate_hour,156.25,resolved_tke,0.09711515158414841,Center,m^2 s^-2
factor1,penultimate_hour,168.75,resolved_tke,0.07751297950744629,Center,m^2 s^-2
factor1,penultimate_hour,181.25,resolved_tke,0.05955154821276665,Center,m^2 s^-2
factor1,penultimate_hour,193.75,resolved_tke,0.043635289184749126,Center,m^2 s^-2
factor1,penultimate_hour,206.25,resolved_tke,0.029913203790783882,Center,m^2 s^-2
factor1,penultimate_hour,218.75,resolved_tke,0.018529290799051523,Center,m^2 s^-2
factor1,penultimate_hour,231.25,resolved_tke,0.010804546996951103,Center,m^2 s^-2
factor1,penultimate_hour,243.75,resolved_tke,0.006299536442384124,Center,m^2 s^-2
factor1,penultimate_hour,256.25,resolved_tke,0.004437724594026804,Center,m^2 s^-2
factor1,penultimate_hour,268.75,resolved_tke,0.003640538197942078,Center,m^2 s^-2
factor1,penultimate_hour,281.25,resolved_tke,0.0032619251869618893,Center,m^2 s^-2
factor1,penultimate_hour,293.75,resolved_tke,0.0027679301565513015,Center,m^2 s^-2
factor1,penultimate_hour,306.25,resolved_tke,0.002516338077839464,Center,m^2 s^-2
factor1,penultimate_hour,318.75,resolved_tke,0.002458564063999802,Center,m^2 s^-2
factor1,penultimate_hour,331.25,resolved_tke,0.0021269507124088705,Center,m^2 s^-2
factor1,penultimate_hour,343.75,resolved_tke,0.0017825675895437598,Center,m^2 s^-2
factor1,penultimate_hour,356.25,resolved_tke,0.0015546046197414398,Center,m^2 s^-2
factor1,penultimate_hour,368.75,resolved_tke,0.001350459351669997,Center,m^2 s^-2
factor1,penultimate_hour,381.25,resolved_tke,0.0012688082933891565,Center,m^2 s^-2
factor1,penultimate_hour,393.75,resolved_tke,0.0012793864007107913,Center,m^2 s^-2
factor1,penultimate_hour,6.25,resolved_tke_buoyancy_production,-3.4298045648029074e-5,Center,m^2 s^-3
factor1,penultimate_hour,18.75,resolved_tke_buoyancy_production,-0.0001595100256963633,Center,m^2 s^-3
factor1,penultimate_hour,31.25,resolved_tke_buoyancy_production,-0.00027898607368115336,Center,m^2 s^-3
factor1,penultimate_hour,43.75,resolved_tke_buoyancy_production,-0.0003052841639146209,Center,m^2 s^-3
factor1,penultimate_hour,56.25,resolved_tke_buoyancy_production,-0.0002998298587044701,Center,m^2 s^-3
factor1,penultimate_hour,68.75,resolved_tke_buoyancy_production,-0.00029182826983742416,Center,m^2 s^-3
factor1,penultimate_hour,81.25,resolved_tke_buoyancy_production,-0.0002768200938589871,Center,m^2 s^-3
factor1,penultimate_hour,93.75,resolved_tke_buoyancy_production,-0.00025478395400568843,Center,m^2 s^-3
factor1,penultimate_hour,106.25,resolved_tke_buoyancy_production,-0.00023197754489956424,Center,m^2 s^-3
factor1,penultimate_hour,118.75,resolved_tke_buoyancy_production,-0.00020917939400533214,Center,m^2 s^-3
factor1,penultimate_hour,131.25,resolved_tke_buoyancy_production,-0.00018385897419648245,Center,m^2 s^-3
factor1,penultimate_hour,143.75,resolved_tke_buoyancy_production,-0.00015820732369320467,Center,m^2 s^-3
factor1,penultimate_hour,156.25,resolved_tke_buoyancy_production,-0.00013295903409016319,Center,m^2 s^-3
factor1,penultimate_hour,168.75,resolved_tke_buoyancy_production,-0.00010415779979666695,Center,m^2 s^-3
factor1,penultimate_hour,181.25,resolved_tke_buoyancy_production,-7.266004649864044e-5,Center,m^2 s^-3
factor1,penultimate_hour,193.75,resolved_tke_buoyancy_production,-4.146928040427156e-5,Center,m^2 s^-3
factor1,penultimate_hour,206.25,resolved_tke_buoyancy_production,-1.643722498556599e-5,Center,m^2 s^-3
factor1,penultimate_hour,218.75,resolved_tke_buoyancy_production,-5.15784057597557e-6,Center,m^2 s^-3
factor1,penultimate_hour,231.25,resolved_tke_buoyancy_production,-1.7889844912133412e-6,Center,m^2 s^-3
factor1,penultimate_hour,243.75,resolved_tke_buoyancy_production,1.1240961157454876e-6,Center,m^2 s^-3
factor1,penultimate_hour,256.25,resolved_tke_buoyancy_production,2.032152110587049e-6,Center,m^2 s^-3
factor1,penultimate_hour,268.75,resolved_tke_buoyancy_production,1.1012219829353853e-6,Center,m^2 s^-3
factor1,penultimate_hour,281.25,resolved_tke_buoyancy_production,6.224013304745313e-9,Center,m^2 s^-3
factor1,penultimate_hour,293.75,resolved_tke_buoyancy_production,-6.365256126628083e-7,Center,m^2 s^-3
factor1,penultimate_hour,306.25,resolved_tke_buoyancy_production,-6.57750746313468e-7,Center,m^2 s^-3
factor1,penultimate_hour,318.75,resolved_tke_buoyancy_production,-2.9289651592989685e-7,Center,m^2 s^-3
factor1,penultimate_hour,331.25,resolved_tke_buoyancy_production,-6.088555437600007e-8,Center,m^2 s^-3
factor1,penultimate_hour,343.75,resolved_tke_buoyancy_production,-1.1362382679180882e-7,Center,m^2 s^-3
factor1,penultimate_hour,356.25,resolved_tke_buoyancy_production,-2.2446397451858502e-7,Center,m^2 s^-3
factor1,penultimate_hour,368.75,resolved_tke_buoyancy_production,-2.2456490711419974e-7,Center,m^2 s^-3
