time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,prescribed_friction_velocity,prescribed_kinematic_stress_magnitude,prescribed_surface_heat_flux,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_sensible_heat_flux,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
8100,486.47601296210019,1,0.48179319500923157,755.20831298828125,15.00131893157959,-3.0404060453292914e-05,1,0,0,0.5,0.25,0,221.21148681640625,15.107612609863281,462.15221231399516,0,1.1614301204681396,-0.26606225967407227,-0.22908158600330353,-0.043511036783456802,-0.037463326007127762,0,0,0,309.39285278320312,299.96005249023438,15.107450485229492,4.6906232833862305,2.1794788837432861,0.2444988340139389
8160,486.05837746489476,1,0.48220491409301758,755.20831298828125,15.001323699951172,-3.0629449611296877e-05,1,0,0,0.5,0.25,0,219.44294738769531,15.105342864990234,461.75545859164998,0,1.1614301204681396,-0.26651439070701599,-0.2294708788394928,-0.043602321296930313,-0.037541922181844711,0,0,0,309.392822265625,299.96762084960938,15.105269432067871,4.7426438331604004,2.3542959690093994,0.23551326990127563
8220,486.70044695063348,1,0.48112991452217102,755.20831298828125,15.001331329345703,-3.0904375307727605e-05,1,0,0,0.5,0.25,0,217.52957153320312,15.124683380126953,462.36542460310176,0,1.1614301204681396,-0.26532500982284546,-0.22844681143760681,-0.043422836810350418,-0.037387385964393616,0,0,0,309.392822265625,299.95892333984375,15.124546051025391,4.506439208984375,2.2857255935668945,0.22196245193481445
8280,488.118692687112,1,0.48008504509925842,755.20831298828125,15.001336097717285,-3.1197447242448106e-05,1,0,0,0.5,0.25,0,218.9190673828125,15.134153366088867,463.71275805275639,0,1.1614301204681396,-0.2638079822063446,-0.2271406352519989,-0.045413535088300705,-0.039101392030715942,0,0,0,309.392822265625,299.96450805664062,15.134102821350098,4.5005512237548828,2.1410126686096191,0.21623820066452026
8340,488.34180862510414,1,0.48054927587509155,755.20831298828125,15.001340866088867,-3.1488169042859226e-05,1,0,0,0.5,0.25,0,220.54460144042969,15.140841484069824,463.92471819384889,0,1.1614301204681396,-0.26430115103721619,-0.22756525874137878,-0.045601651072502136,-0.039263360202312469,0,0,0,309.392822265625,299.97576904296875,15.140792846679688,4.3203887939453125,2.5211203098297119,0.21000923216342926
8400,490.35428551782297,1,0.48046904802322388,755.20831298828125,15.001344680786133,-3.1772684451425448e-05,1,0,0,0.5,0.25,0,221.26617431640625,15.13272762298584,465.83657124193178,0,1.1614301204681396,-0.26418840885162354,-0.22746819257736206,-0.045728251338005066,-0.039372365921735764,0,0,0,309.392822265625,299.95883178710938,15.132665634155273,4.3399710655212402,2.5156455039978027,0.2150004506111145
8460,492.29472378980307,1,0.47827303409576416,755.20831298828125,15.001349449157715,-3.2002837542677298e-05,1,0,0,0.5,0.25,0,222.53446960449219,15.17128849029541,467.67998760031287,0,1.1614301204681396,-0.26166605949401855,-0.22529642283916473,-0.045958679169416428,-0.039570767432451248,0,0,0,309.392822265625,299.95538330078125,15.171250343322754,4.7687416076660156,2.3544459342956543,0.22584448754787445
8520,492.18891533072292,1,0.47862470149993896,755.20831298828125,15.001349449157715,-3.2174713851418346e-05,1,0,0,0.5,0.25,0,223.76803588867188,15.204297065734863,467.57946956418675,0,1.1614301204681396,-0.26183179020881653,-0.22543913125991821,-0.047257322818040848,-0.040688905864953995,0,0,0,309.392822265625,299.94677734375,15.204259872436523,5.0486354827880859,2.6132593154907227,0.22626537084579468
8580,494.81685029599686,1,0.47676125168800354,755.20831298828125,15.001349449157715,-3.236841075704433e-05,1,0,0,0.5,0.25,0,222.1334228515625,15.266214370727539,470.07600778119701,0,1.1614301204681396,-0.26002427935600281,-0.22388283908367157,-0.04561266303062439,-0.039272844791412354,0,0,0,309.392822265625,299.9515380859375,15.266050338745117,4.6440534591674805,2.191624641418457,0.23410004377365112
8640,496.05864797975721,1,0.47534909844398499,755.20831298828125,15.001349449157715,-3.2608142646495253e-05,1,0,0,0.5,0.25,0,220.99348449707031,15.325424194335938,471.25571558076933,0,1.1614301204681396,-0.258146733045578,-0.22226625680923462,-0.047236982733011246,-0.040671393275260925,0,0,0,309.392822265625,299.94793701171875,15.324922561645508,4.841611385345459,2.3676414489746094,0.23353222012519836
