time_s,q_t_min,q_t_max
10500.0,-0.00458024815,0.0154536702
10560.0,-0.00375274103,0.0147050088
10620.0,-0.00583138922,0.0139574278
10680.0,-0.00598330284,0.0142591083
10740.0,-0.00528688217,0.0142499954
10800.0,-0.00682077277,0.0158739183
10860.0,-0.00431832206,0.0170188919
10920.0,-0.00551871024,0.0149439387
10980.0,-0.0052158609,0.0155138932
11040.0,-0.00489006005,0.0154459281
11100.0,-0.00473073032,0.0148531264
11160.0,-0.00598880416,0.0144865224
11220.0,-0.00483286427,0.0158073083
11280.0,-0.00422072085,0.0141365416
11340.0,-0.00460360618,0.0141064124
11400.0,-0.0050750454,0.0149634071
11460.0,-0.00365324551,0.0138653396
11520.0,-0.00513480743,0.0140456269
11580.0,-0.00369738997,0.0147844683
11640.0,-0.00462539168,0.0136538018
11700.0,-0.00639826152,0.0139185255
11760.0,-0.00428923313,0.0147218676
11820.0,-0.00439663231,0.0140555743
11880.0,-0.00493470626,0.0138340564
11940.0,-0.00404815376,0.0151519664
12000.0,-0.00571455155,0.014141242
12060.0,-0.00399896409,0.0141136376
12120.0,-0.00468511041,0.0149872657
12180.0,-0.00461569987,0.0144461831
12240.0,-0.00488796458,0.0139438445
12300.0,-0.00501141464,0.0150099006
12360.0,-0.00474760169,0.0142070558
12420.0,-0.0039286348,0.0156209096
12480.0,-0.00531047164,0.0140385181
12540.0,-0.00545856496,0.0141320247
12600.0,-0.00481879711,0.0145155853
12660.0,-0.00629484421,0.0141211068
12720.0,-0.00529406173,0.0153552508
12780.0,-0.00379810133,0.0149745774
12840.0,-0.00457434636,0.0150935436
12900.0,-0.00464805076,0.0152391074
12960.0,-0.00449974695,0.0144808469
13020.0,-0.00414140383,0.0145865558
13080.0,-0.00419150386,0.0141252717
13140.0,-0.00492030615,0.0146378195
13200.0,-0.00406469498,0.0140390769
13260.0,-0.00468655303,0.0147705264
13320.0,-0.00495256251,0.0145902215
13380.0,-0.00567200128,0.014307606
13440.0,-0.005486893,0.0155747039
13500.0,-0.00543169444,0.0151928868
13560.0,-0.00468743732,0.0151277529
13620.0,-0.00446201162,0.0148645248
13680.0,-0.00540394569,0.0155187491
13740.0,-0.0057966304,0.0143346805
13800.0,-0.00545304455,0.014469604
13860.0,-0.00521574495,0.0150246713
13920.0,-0.00577508891,0.0151575739
13980.0,-0.00502981525,0.0143194795
14040.0,-0.00442454917,0.0163788926
14100.0,-0.00398962339,0.0160259623
14160.0,-0.00579320127,0.0144372834
14220.0,-0.00436138874,0.0144671835
14280.0,-0.00408826349,0.0154269431
14340.0,-0.00477159675,0.0156218521
14400.0,-0.00510798814,0.0160812326
