time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s
28800.0,315.625,buoyancy_mean,0.130044222,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,321.875,buoyancy_mean,0.132306159,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,328.125,buoyancy_mean,0.134524941,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,334.375,buoyancy_mean,0.136761904,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,340.625,buoyancy_mean,0.138960347,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,346.875,buoyancy_mean,0.141107231,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,353.125,buoyancy_mean,0.143283844,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,359.375,buoyancy_mean,0.145663127,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,365.625,buoyancy_mean,0.148217618,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,371.875,buoyancy_mean,0.150830939,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,378.125,buoyancy_mean,0.153306916,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,384.375,buoyancy_mean,0.155387744,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,390.625,buoyancy_mean,0.15695715,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,396.875,buoyancy_mean,0.158158407,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
30600.0,3.125,buoyancy_mean,-0.00868561305,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,9.375,buoyancy_mean,0.00100827101,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,15.625,buoyancy_mean,0.00202414161,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,21.875,buoyancy_mean,0.00367397931,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,28.125,buoyancy_mean,0.00511915516,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
