time_s,naive_float32_K_m_s,centered_float32_K_m_s,quantized_input_float64_K_m_s
3000.0,-0.0014514923095703125,0.0009112510015256703,0.0009108990082851486
3010.0,-0.0014390945434570312,0.0009304552222602069,0.0009303461410198954
3020.0,-0.0014400482177734375,0.0009119404130615294,0.0009117328213929917
3030.0,-0.0013952255249023438,0.0009287243010476232,0.0009283166035434348
3040.0,-0.00147247314453125,0.0009151157573796809,0.0009148376886582812
3050.0,-0.0014181137084960938,0.0009244320681318641,0.0009243465600137708
3060.0,-0.0014162063598632812,0.0009197046747431159,0.0009194256759327963
3070.0,-0.001422882080078125,0.0009198479820042849,0.0009194452715240985
3080.0,-0.0014667510986328125,0.0009245194378308952,0.0009243327053954871
3090.0,-0.0014133453369140625,0.0009149647667072713,0.0009148578159147192
3100.0,-0.0013971328735351562,0.0009286623098887503,0.0009283129809706563
3110.0,-0.0014390945434570312,0.0009121143375523388,0.0009117504065975363
3120.0,-0.0014486312866210938,0.0009304786799475551,0.0009303555388172156
3130.0,-0.0014286041259765625,0.0009110916871577501,0.0009109120049817044
3140.0,-0.0013866424560546875,0.0009303429396823049,0.0009299426098164494
3150.0,-0.0014657974243164062,0.000912864285055548,0.0009125567314633839
3160.0,-0.0014200210571289062,0.0009272678289562464,0.0009271795015147921
3170.0,-0.0014219284057617188,0.0009165218216367066,0.000916266466479739
3180.0,-0.00141143798828125,0.0009231760050170124,0.0009227683952307296
3190.0,-0.0014657974243164062,0.0009213148732669652,0.000921100060842699
3200.0,-0.0014085769653320312,0.0009179248590953648,0.0009178297277308062
3210.0,-0.0014009475708007812,0.0009261565865017474,0.000925830722872231
3220.0,-0.0014276504516601562,0.0009139970643445849,0.0009136186203584621
3230.0,-0.0014600753784179688,0.000929397065192461,0.0009292565120899653
3240.0,-0.0014181137084960938,0.0009113537380471826,0.000911204796843726
3250.0,-0.0013914108276367188,0.0009308955632150173,0.000930507952494249
3260.0,-0.0014591217041015625,0.0009115340653806925,0.0009112013534238343
3270.0,-0.0014247894287109375,0.0009293642942793667,0.0009292677111876394
3280.0,-0.0014276504516601562,0.0009138414170593023,0.0009136097996743514
3290.0,-0.0014028549194335938,0.0009262600215151906,0.000925851207109372
3300.0,-0.0014677047729492188,0.0009180638007819653,0.0009178182108937056
3310.0,-0.0014104843139648438,0.000921213417313993,0.0009211260119848027
3320.0,-0.001407623291015625,0.00092306052101776,0.0009227586452986068
3330.0,-0.00142669677734375,0.0009166848030872643,0.0009162926796238949
3340.0,-0.0014600753784179688,0.000927338027395308,0.0009271767877451696
3350.0,-0.0014142990112304688,0.0009127024677582085,0.0009125791637168878
3360.0,-0.0013933181762695312,0.0009303200640715659,0.0009299502030331952
3370.0,-0.0014476776123046875,0.0009112791158258915,0.0009109284780679531
3380.0,-0.0014352798461914062,0.0009304824634455144,0.0009303747119985319
3390.0,-0.0014352798461914062,0.0009119666647166014,0.0009117604457914271
3400.0,-0.0013904571533203125,0.0009287496795877814,0.0009283432617537521
3410.0,-0.0014696121215820312,0.0009151401463896036,0.0009148634970595731
3420.0,-0.001415252685546875,0.0009244554094038904,0.0009243715730282493
3430.0,-0.0014133453369140625,0.0009197273757308722,0.0009194498338691506
3440.0,-0.0014209747314453125,0.0009198699262924492,0.0009194685986392327
3450.0,-0.00146484375,0.0009245405672118068,0.0009243553100909421
3460.0,-0.0014104843139648438,0.0009149850811809301,0.0009148797054639486
