time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s
28800.0,303.125,buoyancy_mean,0.125426576,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,309.375,buoyancy_mean,0.12796022,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,315.625,buoyancy_mean,0.130371869,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,321.875,buoyancy_mean,0.132430017,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,328.125,buoyancy_mean,0.134471506,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,334.375,buoyancy_mean,0.136825889,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,340.625,buoyancy_mean,0.139188871,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,346.875,buoyancy_mean,0.141282648,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,353.125,buoyancy_mean,0.143329576,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,359.375,buoyancy_mean,0.14572455,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,365.625,buoyancy_mean,0.148308441,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,371.875,buoyancy_mean,0.150874242,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,378.125,buoyancy_mean,0.153360382,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,384.375,buoyancy_mean,0.155479297,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,390.625,buoyancy_mean,0.156984001,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,396.875,buoyancy_mean,0.158016026,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
30600.0,3.125,buoyancy_mean,-0.00994306803,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,9.375,buoyancy_mean,-0.00358865131,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,15.625,buoyancy_mean,-0.00059286668,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,21.875,buoyancy_mean,0.00235333899,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,28.125,buoyancy_mean,0.004859793,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,34.375,buoyancy_mean,0.00705475174,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,40.625,buoyancy_mean,0.00899872463,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,46.875,buoyancy_mean,0.0108222915,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,53.125,buoyancy_mean,0.0124913454,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,59.375,buoyancy_mean,0.0140479747,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,65.625,buoyancy_mean,0.015531322,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,71.875,buoyancy_mean,0.016997654,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,78.125,buoyancy_mean,0.018426137,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,84.375,buoyancy_mean,0.0198317003,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,90.625,buoyancy_mean,0.0212991498,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,96.875,buoyancy_mean,0.0228858665,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,103.125,buoyancy_mean,0.0246502664,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,109.375,buoyancy_mean,0.0265018828,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,115.625,buoyancy_mean,0.028445581,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,121.875,buoyancy_mean,0.0304381382,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,128.125,buoyancy_mean,0.0324849337,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,134.375,buoyancy_mean,0.0346816294,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,140.625,buoyancy_mean,0.0370414518,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,146.875,buoyancy_mean,0.0396294296,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,153.125,buoyancy_mean,0.0426952839,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,159.375,buoyancy_mean,0.0464058481,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,165.625,buoyancy_mean,0.0506609567,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
30600.0,171.875,buoyancy_mean,0.0552477129,Center,m s^-2,preceding_1800s_average,28800.0,30600.0
