time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length_moist,obukhov_length_moist_valid,prescribed_surface_pressure,prescribed_surface_q,prescribed_surface_theta,q_maximum,q_minimum,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_bulk_richardson_minimum,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_q_dynamic_flux,surface_q_kinematic_flux,surface_sensible_heat_flux,surface_theta_dynamic_flux,surface_theta_kinematic_flux,surface_unstable_fraction,surface_zeta_cap_fraction,surface_zeta_maximum,surface_zeta_mean,surface_zeta_minimum,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
27590,156.86075485715853,1,0.26040664315223694,793.75,8.4975643157958984,2.8868207931518555,1,-20.753028869628906,1,102230,0.011831111189288398,295.7466875712077,0.011897687800228596,0.0079295970499515533,25.346672058105469,8.5189218521118164,149.01771711430058,-0.0057774968445301056,-0.072251953184604645,-0.39439740777015686,0.0019310896750539541,1.2043560743331909,0.080195516347885132,0.066587880253791809,-0.015445348806679249,-0.012824569828808308,4.3923606426687911e-05,3.6470613849814981e-05,69.743988037109375,0.069397002458572388,0.057621665298938751,1,0,-0.025121681392192841,-0.32319983839988708,-1.8157069683074951,300.25228881835938,293.43771362304688,8.2465095520019531,2.3928112983703613,1.6509878635406494,0.15414564311504364
27600,156.86093234855161,1,0.26042333245277405,793.75,8.499913215637207,2.8863115310668945,1,-20.704067230224609,1,102230,0.011833333410322666,295.75332641601562,0.011860528960824013,0.0079295756295323372,25.274417877197266,8.5213623046875,149.01788573112404,-0.010257236659526825,-0.072349555790424347,-0.34077614545822144,0.0019360434962436557,1.2043560743331909,0.080220684409141541,0.06660877913236618,-0.015369819477200508,-0.012761856429278851,4.4041807996109128e-05,3.6568759242072701e-05,69.922904968261719,0.069575026631355286,0.057769481092691422,1,0,-0.044763647019863129,-0.32363620400428772,-1.564753532409668,300.25241088867188,293.43887329101562,8.2478904724121094,2.3814806938171387,1.6761069297790527,0.15758870542049408
27610,156.93687342563044,1,0.26039797067642212,793.75,8.5022592544555664,2.8858022689819336,1,-20.656042098999023,1,102230,0.011835555631356935,295.75996526082355,0.01185485627502203,0.0079295607283711433,25.219306945800781,8.5236825942993164,149.0900297543489,-0.010060014203190804,-0.072441905736923218,-0.37126782536506653,0.0019400301389396191,1.2043560743331909,0.080230414867401123,0.066616855561733246,-0.015233928337693214,-0.012649023905396461,4.4129592424724251e-05,3.6641649785451591e-05,70.066886901855469,0.069718293845653534,0.057888440787792206,1,0,-0.043896399438381195,-0.32405638694763184,-1.7073912620544434,300.25244140625,293.40841674804688,8.2492713928222656,2.3950321674346924,1.7145920991897583,0.1638936847448349
27620,157.34517625706425,1,0.260335773229599,793.75,8.5046014785766602,2.8852927684783936,1,-20.606285095214844,1,102230,0.011837777852391203,295.76660410563153,0.011938565410673618,0.0079295467585325241,25.195295333862305,8.5259542465209961,149.47791744421104,-0.0043406938202679157,-0.072594866156578064,-0.41795560717582703,0.0019434104906395078,1.2043560743331909,0.080224253237247467,0.066611737012863159,-0.015056277625262737,-0.012501516379415989,4.4195345253683627e-05,3.6696244933409616e-05,70.188972473144531,0.069839775562286377,0.057989306747913361,1,0,-0.01884903758764267,-0.32475584745407104,-1.9261243343353271,300.25259399414062,293.395263671875,8.2504901885986328,2.396608829498291,1.9627840518951416,0.17150665819644928
27630,157.82572686587287,1,0.2602793276309967,793.75,8.5069389343261719,2.8847835063934326,1,-20.556482315063477,1,102230,0.011840000073425472,295.77324295043945,0.012000567279756069,0.0079295327886939049,25.201114654541016,8.528167724609375,149.93444052257922,0.010839655995368958,-0.072826653718948364,-0.40320810675621033,0.0019469702383503318,1.2043560743331909,0.080222859978675842,0.066610582172870636,-0.014870717190206051,-0.012347442097961903,4.4258653360884637e-05,3.6748810089193285e-05,70.317543029785156,0.069967702031135559,0.058095529675483704,0.999755859375,0,0.049455929547548294,-0.32581996917724609,-1.8569917678833008,300.25262451171875,293.39483642578125,8.2514171600341797,2.3839139938354492,1.9214382171630859,0.1772301197052002
27640,175.42198068864957,1,0.26020342111587524,793.75,8.5092744827270508,2.8842740058898926,1,-20.507152557373047,1,102230,0.011842222294459741,295.77988179524738,0.011971690692007542,0.0079295225441455841,25.231973648071289,8.5300922393798828,166.65088165421707,0.0050083803944289684,-0.073022276163101196,-0.48342478275299072,0.0019501005299389362,1.2043560743331909,0.080207273364067078,0.066597640514373779,-0.014692819677293301,-0.012199730612337589,4.4304164475761354e-05,3.6786597775062546e-05,70.430595397949219,0.070080190896987915,0.058188930153846741,0.999755859375,0,0.022185016423463821,-0.32671734690666199,-2.2334048748016357,300.25259399414062,293.421630859375,8.2524385452270508,2.3603923320770264,1.9918085336685181,0.18054237961769104
27650,157.87318487962449,1,0.2601267397403717,793.75,8.5116071701049805,2.8837647438049316,1,-20.465087890625,1,102230,0.011844444515494009,295.78652064005536,0.011946870014071465,0.007929517887532711,25.273822784423828,8.5318746566772461,149.97952563564326,-0.0064791040495038033,-0.07309916615486145,-0.31213170289993286,0.0019525694660842419,1.2043560743331909,0.080187231302261353,0.066580995917320251,-0.014534726738929749,-0.012068462558090687,4.4327163777779788e-05,3.6805697163799778e-05,70.519767761230469,0.070168919861316681,0.058262601494789124,1,0,-0.028190203011035919,-0.32705897092819214,-1.4309396743774414,300.25271606445312,293.48825073242188,8.253138542175293,2.3323955535888672,1.8705903291702271,0.18229915201663971
27660,160.96239589702577,1,0.26005867123603821,793.75,8.5139341354370117,2.8832554817199707,1,-20.43010139465332,1,102230,0.011846666736528278,295.79315948486328,0.011949369683861732,0.0079295150935649872,25.325700759887695,8.5337257385253906,152.91427610217448,0.0015713403699919581,-0.073192641139030457,-0.33289861679077148,0.0019545857794582844,1.2043560743331909,0.080169752240180969,0.066566489636898041,-0.01439136266708374,-0.011949424631893635,4.4335327402222902e-05,3.6812474718317389e-05,70.592582702636719,0.070241376757621765,0.058322764933109283,0.999755859375,0,0.0068430043756961823,-0.32748293876647949,-1.5279355049133301,300.25277709960938,293.52352905273438,8.2536888122558594,2.3099572658538818,1.8984886407852173,0.18274331092834473
27670,165.02123510754276,1,0.26002633571624756,793.75,8.5162591934204102,2.8827459812164307,1,-20.404518127441406,1,102230,0.011848888957562547,295.79979832967121,0.012029709294438362,0.007929517887532711,25.399129867553711,8.5362787246704102,156.77017335216561,0.006491572130471468,-0.073172211647033691,-0.33592316508293152,0.001956528052687645,1.2043560743331909,0.08017391711473465,0.066569946706295013,-0.014252889901399612,-0.011834448203444481,4.4338630686979741e-05,3.6815217754337937e-05,70.662727355957031,0.070311173796653748,0.058380719274282455,0.999755859375,0,0.028969477862119675,-0.32738494873046875,-1.5420694351196289,300.25277709960938,293.5289306640625,8.2543954849243164,2.295417308807373,1.8546206951141357,0.18162767589092255
27680,168.17135728571392,1,0.25998979806900024,793.75,8.5185794830322266,2.8822367191314697,1,-20.380958557128906,1,102230,0.011851111178596814,295.80643717447919,0.011902997270226479,0.007929529994726181,25.475534439086914,8.538731575012207,159.76278942142821,-0.0032898695208132267,-0.073070049285888672,-0.28151002526283264,0.001958183478564024,1.2043560743331909,0.080175526440143585,0.066571280360221863,-0.014112465083599091,-0.011717851273715496,4.433591675478965e-05,3.681296220747754e-05,70.722518920898438,0.070370666682720184,0.05843011662364006,1,0,-0.014270655810832977,-0.32690712809562683,-1.288111686706543,300.25283813476562,293.45864868164062,8.2548313140869141,2.2936275005340576,1.8762564659118652,0.17972967028617859
