time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s,source_times_s
14400,556.25,buoyancy_mean,0.015158506498361627,Center,m s^-2,equal_mean_of_12_instantaneous_profiles,10800,14400,11100.0;11400.0;11700.0;12000.0;12300.0;12600.0;12900.0;13200.0;13500.0;13800.0;14100.0;14400.0
14400,568.75,buoyancy_mean,0.015267122148846587,Center,m s^-2,equal_mean_of_12_instantaneous_profiles,10800,14400,11100.0;11400.0;11700.0;12000.0;12300.0;12600.0;12900.0;13200.0;13500.0;13800.0;14100.0;14400.0
14400,581.25,buoyancy_mean,0.015340062712008754,Center,m s^-2,equal_mean_of_12_instantaneous_profiles,10800,14400,11100.0;11400.0;11700.0;12000.0;12300.0;12600.0;12900.0;13200.0;13500.0;13800.0;14100.0;14400.0
14400,593.75,buoyancy_mean,0.015241160135095319,Center,m s^-2,equal_mean_of_12_instantaneous_profiles,10800,14400,11100.0;11400.0;11700.0;12000.0;12300.0;12600.0;12900.0;13200.0;13500.0;13800.0;14100.0;14400.0
14400,606.25,buoyancy_mean,0.015240088493252793,Center,m s^-2,equal_mean_of_12_instantaneous_profiles,10800,14400,11100.0;11400.0;11700.0;12000.0;12300.0;12600.0;12900.0;13200.0;13500.0;13800.0;14100.0;14400.0
14400,618.75,buoyancy_mean,0.015387135945881406,Center,m s^-2,equal_mean_of_12_instantaneous_profiles,10800,14400,11100.0;11400.0;11700.0;12000.0;12300.0;12600.0;12900.0;13200.0;13500.0;13800.0;14100.0;14400.0
14400,631.25,buoyancy_mean,0.015457448316738009,Center,m s^-2,equal_mean_of_12_instantaneous_profiles,10800,14400,11100.0;11400.0;11700.0;12000.0;12300.0;12600.0;12900.0;13200.0;13500.0;13800.0;14100.0;14400.0
14400,643.75,buoyancy_mean,0.015397494425997138,Center,m s^-2,equal_mean_of_12_instantaneous_profiles,10800,14400,11100.0;11400.0;11700.0;12000.0;12300.0;12600.0;12900.0;13200.0;13500.0;13800.0;14100.0;14400.0
14400,656.25,buoyancy_mean,0.015252512181177735,Center,m s^-2,equal_mean_of_12_instantaneous_profiles,10800,14400,11100.0;11400.0;11700.0;12000.0;12300.0;12600.0;12900.0;13200.0;13500.0;13800.0;14100.0;14400.0
14400,668.75,buoyancy_mean,0.015096493763849139,Center,m s^-2,equal_mean_of_12_instantaneous_profiles,10800,14400,11100.0;11400.0;11700.0;12000.0;12300.0;12600.0;12900.0;13200.0;13500.0;13800.0;14100.0;14400.0
