time_s,q_z100p0m,q_z10p0m,q_z180p0m,q_z200p0m,q_z25p0m,q_z50p0m,theta_z100p0m,theta_z10p0m,theta_z180p0m,theta_z200p0m,theta_z25p0m,theta_z50p0m,u_z100p0m,u_z10p0m,u_z180p0m,u_z200p0m,u_z25p0m,u_z50p0m,v_z100p0m,v_z10p0m,v_z180p0m,v_z200p0m,v_z25p0m,v_z50p0m,w_z100p0m,w_z10p0m,w_z180p0m,w_z200p0m,w_z25p0m,w_z50p0m
12780,0.0093685807660222054,0.0098529160022735596,0.0086295837536454201,0.0085818180814385414,0.0097674410790205002,0.0097096925601363182,293.755126953125,289.33352661132812,297.095947265625,297.24404907226562,290.74551391601562,291.25241088867188,-6.8952145576477051,-2.1656880378723145,-2.4609215259552002,-1.8846954107284546,-4.4213271141052246,-5.5008091926574707,4.5274653434753418,-0.32544878125190735,6.4456272125244141,6.0590934753417969,0.26492172479629517,1.0231355428695679,-0.049290746450424194,-0.11730538308620453,0.047349307686090469,-0.026816681027412415,-0.057460330426692963,-0.077646322548389435
12790,0.0093500027433037758,0.0098494142293930054,0.0085801202803850174,0.0085130073130130768,0.0098083354532718658,0.0097601087763905525,293.82330322265625,289.65298461914062,297.29864501953125,297.55429077148438,290.35675048828125,290.82595825195312,-6.8215084075927734,-2.5646936893463135,-1.9946495294570923,-1.5917578935623169,-4.2671194076538086,-5.5173897743225098,4.7854957580566406,-0.11938925832509995,6.311225414276123,5.9476208686828613,0.12423170357942581,0.79672205448150635,-0.10302695631980896,-0.21021117269992828,0.051925219595432281,-0.029194459319114685,-0.04237084835767746,0.074862517416477203
12800,0.0093897497281432152,0.0098542580381035805,0.00859843660145998,0.0085401628166437149,0.0098011940717697144,0.0096942465752363205,293.63247680664062,289.40399169921875,297.229736328125,297.48037719726562,290.26748657226562,291.48358154296875,-6.563992977142334,-2.3787720203399658,-2.1678838729858398,-1.6971621513366699,-4.1162028312683105,-6.0455398559570312,4.3911042213439941,0.088354364037513733,6.2942252159118652,6.0701565742492676,0.17237186431884766,1.2616878747940063,-0.086883381009101868,-0.16901600360870361,-0.007638491690158844,0.022522890940308571,-0.3162212073802948,-0.08031851053237915
12810,0.0093653565272688866,0.0098610762506723404,0.0085825109854340553,0.0085416315123438835,0.0098280627280473709,0.0096853859722614288,293.77084350585938,289.27227783203125,297.2476806640625,297.46249389648438,289.80838012695312,291.41131591796875,-6.8279976844787598,-1.9329880475997925,-2.2317757606506348,-1.6999669075012207,-3.8097918033599854,-6.021815299987793,4.8068513870239258,0.37926855683326721,6.2837929725646973,6.0453958511352539,0.46510183811187744,1.1749116182327271,-0.062758393585681915,0.090002521872520447,0.01462256908416748,-0.016199734061956406,0.15725204348564148,0.12533152103424072
12820,0.0093375872820615768,0.0098632322624325752,0.0086031816899776459,0.0085167521610856056,0.0098441885784268379,0.0096963290125131607,293.81808471679688,289.2479248046875,297.15658569335938,297.53353881835938,289.8734130859375,291.35214233398438,-6.8052148818969727,-1.5682249069213867,-2.2321004867553711,-1.7379937171936035,-3.8984684944152832,-5.9398698806762695,4.6023964881896973,0.18874743580818176,6.5008554458618164,6.002657413482666,0.85782748460769653,1.1362307071685791,0.016815664246678352,0.081894859671592712,0.0050402795895934105,0.079845733940601349,0.18381182849407196,0.069308988749980927
12830,0.0093582998961210251,0.0098582282662391663,0.0085924658924341202,0.0085345068946480751,0.0098082469776272774,0.0096866022795438766,293.771240234375,289.1826171875,297.18060302734375,297.48828125,290.3349609375,291.47268676757812,-7.0066094398498535,-1.4334107637405396,-2.3622193336486816,-1.6526093482971191,-4.2026681900024414,-5.5887465476989746,4.8160028457641602,0.72803705930709839,6.4923062324523926,6.0957169532775879,0.61676239967346191,0.93588024377822876,0.099483199417591095,0.30085936188697815,0.11744235455989838,0.094451971352100372,-0.06182587519288063,0.072583004832267761
12840,0.0093908281996846199,0.0098423613235354424,0.0086273849010467529,0.0085572898387908936,0.0097965877503156662,0.0097260298207402229,293.61309814453125,289.374267578125,297.117919921875,297.39349365234375,290.32577514648438,291.0196533203125,-6.992119312286377,-1.613255500793457,-2.1080408096313477,-1.7162721157073975,-3.6521162986755371,-5.7513852119445801,4.6517982482910156,0.69075429439544678,6.2779955863952637,6.0166411399841309,0.25678116083145142,1.0883548259735107,0.062578313052654266,-0.12472400814294815,0.032838169485330582,0.060199040919542313,-0.11657572537660599,-0.10234078764915466
12850,0.0093413889408111572,0.0098478756844997406,0.0085867708548903465,0.0085404831916093826,0.009832366369664669,0.0097540924325585365,293.81793212890625,289.51766967773438,297.22918701171875,297.42575073242188,290.20254516601562,290.78411865234375,-6.8360595703125,-2.2773032188415527,-2.0999891757965088,-1.7688901424407959,-3.9006152153015137,-5.5284571647644043,4.4699716567993164,0.40343314409255981,6.4333457946777344,6.2021245956420898,0.11044964194297791,0.95778447389602661,0.051972664892673492,-0.29577848315238953,-0.059335675090551376,-0.017096461728215218,0.25534942746162415,-0.0066003403626382351
12860,0.009342411532998085,0.0098547320812940598,0.0086003430187702179,0.0085218306630849838,0.0098060611635446548,0.0097462749108672142,293.88778686523438,289.35708618164062,297.18511962890625,297.47549438476562,290.40328979492188,290.89248657226562,-6.7362618446350098,-1.8991472721099854,-2.3531773090362549,-1.7696435451507568,-4.7996931076049805,-5.2123985290527344,4.6543264389038086,0.19035935401916504,6.426781177520752,6.1585898399353027,0.3037019670009613,0.4788176417350769,0.021490812301635742,-0.0372428297996521,0.012222499586641788,0.02463824488222599,0.11349698901176453,-0.048767685890197754
12870,0.0093528460711240768,0.0098765399307012558,0.0086953183636069298,0.0085746357217431068,0.0098258713260293007,0.0097677279263734818,293.82925415039062,289.04916381835938,296.81585693359375,297.30709838867188,290.22088623046875,290.75460815429688,-6.8173227310180664,-1.4681650400161743,-2.4614286422729492,-1.6588793992996216,-4.420189380645752,-5.2271323204040527,4.6102190017700195,-0.17093087732791901,6.5762391090393066,6.1190042495727539,0.3759855329990387,0.40691876411437988,-0.0041917543858289719,0.13225099444389343,-0.1182313933968544,-0.0073392987251281738,0.20077484846115112,0.080859966576099396
