variable,time_s,z_m,value,location,units,record_kind,window_start_s,window_end_s
u_mean,9000.0,537.5,6.75703955,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,542.5,6.75566101,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,547.5,6.75409031,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,552.5,6.75248528,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,557.5,6.75061989,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,562.5,6.748528,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,567.5,6.74619007,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,572.5,6.74361658,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,577.5,6.74098635,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,582.5,6.73831463,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,587.5,6.7356143,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,592.5,6.73278999,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,597.5,6.72997046,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,602.5,6.72719049,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,607.5,6.72439051,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,612.5,6.7216568,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,617.5,6.71907997,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,622.5,6.71675158,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,627.5,6.71462822,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,632.5,6.71262884,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,637.5,6.71091509,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,642.5,6.70922947,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,647.5,6.70783472,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,652.5,6.70655823,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,657.5,6.70545578,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,662.5,6.70452166,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,667.5,6.70383835,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,672.5,6.70320797,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,677.5,6.70259571,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,682.5,6.70211506,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
