time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
27120,197.847016126,1,0.302618950605,181.25,9.29305171967,0.17523419857,1,149.804290771,1,49.3686599731,9.58645057678,187.954665319,0.0920206829906,0.010910846293,-0.000462491909275,1.32231128216,-0.0996293872595,-0.0753448829055,-0.0688328742981,-0.0520549714565,0,-16.5088005066,0,0.485604703426,0.0465179979801,263.116666621,-0.0164266675711,-0.012422692962,267.74899292,263.198913574,9.41768169403,4.43346595764,1.05318391323,0.116330817342
27180,208.964089308,1,0.304817914963,181.25,9.27656269073,0.178266823292,1,151.312789917,1,52.4238243103,9.69043636322,198.515884843,0.122292585671,0.0102068092674,-0.000467935285997,1.32231128216,-0.101566642523,-0.0768099352717,-0.0691309124231,-0.0522803626955,0,-16.7031021118,0,0.724072277546,0.0434243567288,263.112499954,-0.016620002687,-0.0125689031556,267.748352051,263.168273926,9.48900318146,4.46260976791,1.38634204865,0.141186252236
27240,216.208054586,1,0.308134734631,181.25,9.23940944672,0.179383292794,1,153.431869507,1,50.857093811,9.63777828217,205.397651857,0.0711113065481,0.0102468254045,-0.000476701388834,1.32231128216,-0.103896528482,-0.0785719156265,-0.0704853907228,-0.0533046871424,0,-17.0160121918,0,0.350338220596,0.0434601902962,263.108333288,-0.0169313549995,-0.0128043638542,267.747650146,263.303497314,9.50863265991,4.41404438019,1.18804049492,0.125833064318
27300,194.987759537,1,0.309608817101,181.25,9.18378162384,0.181726977229,1,153.685058594,1,47.5312919617,9.73096561432,185.23837156,0.043223656714,0.0101769380271,-0.000482778908918,1.32231128216,-0.104972019792,-0.0793852582574,-0.0710447281599,-0.0537276864052,0,-17.2329502106,0,0.196695119143,0.0430688485503,263.104166621,-0.0171472150832,-0.0129676088691,267.746551514,263.135131836,9.51403141022,4.11624908447,1.05438375473,0.114421658218
27360,224.99913079,1,0.307535350323,181.25,9.17057609558,0.182296603918,1,152.496826172,1,45.6639022827,9.65609550476,213.74917425,0.0967511758208,0.0104185119271,-0.000476830813568,1.32231128216,-0.10343465209,-0.078222617507,-0.0702969580889,-0.0531621873379,0,-17.0206317902,0,0.519173562527,0.044310502708,263.099999954,-0.0169359520078,-0.0128078404814,267.745147705,263.247802734,9.43465805054,4.21005678177,1.14883756638,0.105926960707
27420,252.816776015,1,0.304639548063,181.25,9.14547920227,0.184928044677,1,150.823913574,1,48.7528457642,9.6703119278,240.175937214,0.0602087974548,0.0106974141672,-0.000468628422823,1.32231128216,-0.100942149758,-0.0763376578689,-0.0697872042656,-0.0527766831219,0,-16.7278442383,0,0.287094026804,0.0454027876258,263.095833287,-0.0166446212679,-0.0125875212252,267.745513916,263.234863281,9.50792121887,4.23025894165,0.994390249252,0.0916487276554
27480,235.064796989,1,0.300741612911,181.25,9.14372444153,0.184788346291,1,148.745544434,1,49.1690597534,9.69379520416,223.31155714,0.551845788956,0.0117440707982,-0.00045716878958,1.32231128216,-0.0973339304328,-0.0736089423299,-0.0694951713085,-0.0525558330119,0,-16.3187904358,0.0009765625,10,0.0614093653858,263.09166662,-0.0162376016378,-0.0122797116637,267.746124268,263.21786499,9.59132480621,4.37834882736,1.0373250246,0.0983764231205
27540,247.552245585,1,0.29638376832,181.25,9.17623901367,0.186671286821,1,146.253921509,1,45.8138427734,9.65360069275,235.174633306,0.14802031219,0.0113768037409,-0.000445036566816,1.32231128216,-0.0942946225405,-0.0713104605675,-0.0678291618824,-0.0512959100306,0,-15.8857250214,0,0.983108043671,0.0489781200886,263.087499954,-0.0158066917211,-0.0119538353756,267.746551514,263.237579346,9.51642417908,4.84412765503,1.1134005785,0.103635974228
27600,197.133586317,1,0.294754624367,181.25,9.17506885529,0.187009125948,1,144.951400757,1,43.5999107361,9.57336902618,187.276907001,0.0661601424217,0.0108944959939,-0.000441671581939,1.32231128216,-0.0935373604298,-0.0707377791405,-0.0666994303465,-0.0504415482283,0,-15.7656106949,0,0.321062505245,0.0462602600455,263.083333287,-0.0156871750951,-0.0118634514511,267.746520996,263.261627197,9.37575912476,4.29207324982,1.17721247673,0.121220231056
27660,240.337453118,1,0.294433921576,181.25,9.15787506104,0.187143221498,1,143.537780762,1,39.7763900757,9.57890415192,228.320580462,0.0540120005608,0.0112249180675,-0.00044456703472,1.32231128216,-0.0933832153678,-0.0706212073565,-0.0664851814508,-0.0502795241773,0,-15.8689651489,0,0.253045380116,0.0477339029312,263.07916662,-0.0157900154591,-0.0119412243366,267.745727539,263.188659668,9.42386245728,4.40822887421,1.37272465229,0.0918357819319
