case_id,grid,window_start_s,window_end_s,z_m,w_variance_m2_s2,w_third_central_moment_m3_s3,skewness_ratio_of_time_averaged_moments,mean_of_four_halfhour_skewness_ratios,valid
coarse_none_weno9,coarse,7200,14400,1400.0,0.00144162929775,-4.8350355985e-5,-0.8833224662830327,-0.7480736272070654,true
coarse_none_weno9,coarse,7200,14400,1420.0,0.00168901536225,-8.620575365e-5,-1.24189778790054,-1.193419487125416,true
coarse_none_weno9,coarse,7200,14400,1440.0,0.001998263995,-0.00011992843599999999,-1.342588352341683,-1.4061449206500325,true
coarse_none_weno9,coarse,7200,14400,1460.0,0.002112244575,-0.000118172609225,-1.2173081221010782,-1.2417794619275113,true
coarse_none_weno9,coarse,7200,14400,1480.0,0.0016029081025,-4.9935886625e-5,-0.778125824541838,-0.778500872792448,true
coarse_none_weno9,coarse,7200,14400,1500.0,0.0,0.0,NaN,NaN,false
coarse_none_weno5,coarse,7200,14400,0.0,0.0,0.0,NaN,NaN,false
coarse_none_weno5,coarse,7200,14400,20.0,0.0141647742,0.00231661211,1.3741648596576348,1.3739404240150654,true
coarse_none_weno5,coarse,7200,14400,40.0,0.02958587835,0.006511101032499999,1.2794630065176689,1.280369261843142,true
coarse_none_weno5,coarse,7200,14400,60.0,0.04737017955,0.010714520475000001,1.0392384172369216,1.042039723655261,true
coarse_none_weno5,coarse,7200,14400,80.0,0.067409168925,0.01521421645,0.8693029058108906,0.8732553846093448,true
coarse_none_weno5,coarse,7200,14400,100.0,0.08824450522499999,0.0201454321,0.7685021350463414,0.7729671601235794,true
coarse_none_weno5,coarse,7200,14400,120.0,0.108842615,0.025462092375000002,0.7090806568467923,0.7137170898782209,true
coarse_none_weno5,coarse,7200,14400,140.0,0.12861469575,0.031005855175,0.6722144162958102,0.676852673219108,true
coarse_none_weno5,coarse,7200,14400,160.0,0.14724345500000002,0.036616135375,0.6480649086348279,0.6526095051612847,true
coarse_none_weno5,coarse,7200,14400,180.0,0.16457608724999997,0.0421581734,0.6314394135988626,0.6358525536141225,true
coarse_none_weno5,coarse,7200,14400,200.0,0.180532839,0.047491368825,0.6191278919596835,0.6234006889040409,true
coarse_none_weno5,coarse,7200,14400,220.0,0.19512294600000002,0.052482184975,0.6089047907027707,0.6130362202640439,true
coarse_none_weno5,coarse,7200,14400,240.0,0.2083920985,0.057038762625,0.5995814989472195,0.6035779393364611,true
coarse_none_weno5,coarse,7200,14400,260.0,0.22039335625,0.061100958850000005,0.590541302705584,0.5944244732980072,true
coarse_none_weno5,coarse,7200,14400,280.0,0.231176138,0.06462544295,0.5814187412184454,0.5852221050440484,true
coarse_none_weno5,coarse,7200,14400,300.0,0.2407861275,0.06757925265,0.5719607032254809,0.5757111025089912,true
coarse_none_weno5,coarse,7200,14400,320.0,0.2492764295,0.069920202725,0.5617988626583366,0.5655084092792334,true
coarse_none_weno5,coarse,7200,14400,340.0,0.25671554375,0.07160467655000001,0.5505073721917358,0.5541669248153916,true
coarse_none_weno5,coarse,7200,14400,360.0,0.2631727645,0.07258500720000001,0.5376324955375152,0.5412136436140028,true
coarse_none_weno5,coarse,7200,14400,380.0,0.2687422335,0.0728191584,0.5226870881840905,0.5261586193467989,true
coarse_none_weno5,coarse,7200,14400,400.0,0.27352343525,0.07228425887500001,0.5053030495301989,0.5086361087486722,true
coarse_none_weno5,coarse,7200,14400,420.0,0.27761391575,0.0709620621,0.4851369789315511,0.4883022370604362,true
coarse_none_weno5,coarse,7200,14400,440.0,0.2811141535,0.06883839052499999,0.4618560530386252,0.46480759866064936,true
coarse_none_weno5,coarse,7200,14400,460.0,0.28412439675,0.065925065425,0.43529911028757495,0.43796191772874576,true
coarse_none_weno5,coarse,7200,14400,480.0,0.28675258174999996,0.06225486845,0.40542667035531815,0.4077054160653505,true
coarse_none_weno5,coarse,7200,14400,500.0,0.28912550224999994,0.05789825785000001,0.3724224868307055,0.37421628639084215,true
coarse_none_weno5,coarse,7200,14400,520.0,0.2913677765,0.052961422125,0.3367420555909789,0.33796049416543994,true
coarse_none_weno5,coarse,7200,14400,540.0,0.29358031625,0.047617116,0.29934546785025967,0.2999185350407758,true
coarse_none_weno5,coarse,7200,14400,560.0,0.295838639,0.042126683525,0.26180318536713465,0.26168398283837013,true
coarse_none_weno5,coarse,7200,14400,580.0,0.2981462775,0.0367962462,0.2260265358766188,0.22518979763836236,true
